Title,Link,Date,Views,File_name,Label
"ตรวจสอบสถานะเราไม่ทิ้งกัน จะได้เงินเยียวยา 5,000 เมื่อไร เช็กได้ทันที",https://www.sanook.com/money/750763/,29 มิ.ย. 63,"10,483,161",ข่าวการเงิน_1.txt,ข่าวการเงิน
"สมัครชิมช้อปใช้ รับเงิน 1,000 บาท ไม่อยากพลาดสิทธิ์ต้องทำอย่างไร?",https://www.sanook.com/money/694453/,8 ต.ค. 62,"7,665,894",ข่าวการเงิน_2.txt,ข่าวการเงิน
"ลงทะเบียนเราไม่ทิ้งกัน รับเงินเยียวยา 5,000 บาท ผ่าน www.เราไม่ทิ้งกัน.com",https://www.sanook.com/money/747383/,19 เม.ย. 63,"5,932,754",ข่าวการเงิน_3.txt,ข่าวการเงิน
ชิมช้อปใช้ 3 ลงทะเบียนอย่างไรถึงได้สิทธิ์คืนเงินสูงสุด 20% พร้อมเผยทุกขั้นตอน,https://www.sanook.com/money/693121/,14 พ.ย. 62,"5,589,592",ข่าวการเงิน_4.txt,ข่าวการเงิน
"วิธีตรวจสอบสิทธิประกันสังคมมาตรา 40 ผ่าน www.sso.go.th รับเงินคนละ 5,000 บาท",https://www.sanook.com/money/842404/,3 พ.ย. 64,"4,258,093",ข่าวการเงิน_5.txt,ข่าวการเงิน
"เช็กสถานะเราไม่ทิ้งกัน ขึ้นแบบไหนถึงได้เงิน 5,000 บาท แบบชัวร์ๆ",https://www.sanook.com/money/751111/,3 พ.ค. 63,"4,195,670",ข่าวการเงิน_6.txt,ข่าวการเงิน
ลงทะเบียนรับเงินค่าไฟ จาก กฟภ. แค่กรอกข้อมูล-คอนเฟิร์ม รอรับเงินโลด,https://www.sanook.com/money/746543/,16 เม.ย. 63,"4,086,441",ข่าวการเงิน_7.txt,ข่าวการเงิน
"วิธีสมัครประกันสังคมมาตรา 40 ผ่านเว็บไซต์ www.sso.go.th รับ 5,000 บาท ง่ายไปอีก!",https://www.sanook.com/money/840052/,24 ส.ค. 64,"3,970,249",ข่าวการเงิน_8.txt,ข่าวการเงิน
"ออมสิน ลงทะเบียนกู้เงินฉุกเฉิน 10,000 บาท ทำง่ายแค่ 5 ขั้นตอน",https://www.sanook.com/money/752663/,24 เม.ย. 63,"3,644,518",ข่าวการเงิน_9.txt,ข่าวการเงิน
เช็กเงินอุดหนุนบุตร ได้ด้วยตนเอง ขั้นตอนง่ายๆ แค่กรอก-คลิกเท่านั้น!,https://www.sanook.com/money/736071/,5 ม.ค. 65,"3,492,284",ข่าวการเงิน_10.txt,ข่าวการเงิน
