Title,Link,Date,Views,File_name,Label
ตารางการแข่งขันฟุตบอลโลก 2018 พร้อมช่องถ่ายทอดสด,https://www.sanook.com/sport/710505/,13 มิ.ย. 61,"1,459,446",ข่าวกีฬา_1.txt,ข่าวกีฬา
"แฟนวอลเลย์บอลทั่วโลกร่วมลงชื่อกดดัน ""FIVB"" ต้องชี้แจงทำไมไทยเสียแต้มให้ญี่ปุ่น!",https://www.sanook.com/sport/240581/,19 พ.ค. 59,"1,217,522",ข่าวกีฬา_2.txt,ข่าวกีฬา
"ตะลึง! ""นุศรา"" เสิร์ฟปั่นหัวคู่ต่อสู้ไปไม่เป็นกันทั้งทีม (คลิป)",https://www.sanook.com/sport/135489/,27 ก.พ. 58,"1,064,458",ข่าวกีฬา_3.txt,ข่าวกีฬา
"""โค้ชไม่ต้องผมเอง""! แฟนบอลชื่นชม ""สารัช"" โดดขวางผู้เล่นไต้หวัน ปะทะซิโก้ +คลิป",https://www.sanook.com/sport/184721/,13 พ.ย. 58,"808,192",ข่าวกีฬา_4.txt,ข่าวกีฬา
"ชมกันอีกครั้ง!! ""บัวขาว"" สอนมวย ""กูฮุย"" เมื่อคืนอย่างไร?",https://www.sanook.com/sport/181457/,29 ต.ค. 58,"708,599",ข่าวกีฬา_5.txt,ข่าวกีฬา
"แฉ ""ปาเกียว"" โดนปล้นชัย! เผยใบให้คะแนนชี้ชัด ""ฟลอยด์"" ต้องแพ้!",https://www.sanook.com/sport/148541/,5 พ.ค. 58,"703,062",ข่าวกีฬา_6.txt,ข่าวกีฬา
คอมเม้นท์! แฟนวอลเลย์บอลญี่ปุ่นหลังชนะไทย 3-2,https://www.sanook.com/sport/240445/,19 พ.ค. 59,"693,313",ข่าวกีฬา_7.txt,ข่าวกีฬา
คอมเม้นท์! แฟนวอลเลย์บอลทั่วโลกหลังทีมไทยแพ้ญี่ปุ่น 2-3,https://www.sanook.com/sport/240393/,19 พ.ค. 59,"656,441",ข่าวกีฬา_8.txt,ข่าวกีฬา
"คลิป! ศึกกำปั้น ""บัวขาว"" VS. ""อี้หลง"" จากประเทศจีน",https://www.sanook.com/sport/391531/,5 พ.ย. 59,"655,383",ข่าวกีฬา_9.txt,ข่าวกีฬา
“แว่น สิริรัตน์” อดีตนักบาสสาวหล่อ จากความดังชั่วข้ามคืน กับชีวิตที่เปลี่ยนไป,https://www.sanook.com/sport/164517/,14 ส.ค. 58,"648,754",ข่าวกีฬา_10.txt,ข่าวกีฬา
"คลิปมาเร็วไปเร็ว! ""บัวขาว"" โชว์โหดไล่ยำ ""หวัง เว่ยเฮา""",https://www.sanook.com/sport/243741/,5 มิ.ย. 59,"632,179",ข่าวกีฬา_11.txt,ข่าวกีฬา
เปิดชีวิตปัจจุบัน “มนัส บุญจำนงค์” ฮีโร่โอลิมปิก 10 ล้านหายไปกับกิน เที่ยว,https://www.sanook.com/sport/139773/,19 มี.ค. 58,"623,059",ข่าวกีฬา_12.txt,ข่าวกีฬา
"สะใจทั้งอาเซียน! ""ฟิลิปปินส์"" รัวหมัดดับเจ้าภาพ 24 วิ. คว้าทองซีเกมส์ (คลิป)",https://www.sanook.com/sport/625149/,25 ส.ค. 60,"621,886",ข่าวกีฬา_13.txt,ข่าวกีฬา
"RIP! ""นักมวยปล้ำจังโก้"" เสียชีวิตคาเชือกต่อหน้าต่อตา ""เรย์ มิสเตริโอ"" (คลิป)",https://www.sanook.com/sport/140455/,22 มี.ค. 58,"616,373",ข่าวกีฬา_14.txt,ข่าวกีฬา
"สุดยอดไปเลยลูก! แข้งฟันน้ำนม ""น้องพี"" ซัดชนคาน 5 ครั้งซ้อน (คลิป)",https://www.sanook.com/sport/425333/,8 ม.ค. 60,"601,833",ข่าวกีฬา_15.txt,ข่าวกีฬา
"คลิปช็อดเด็ด ที่หาดูยาก เมื่อ ""ซาร่า"" รับบทตัวตบ ที่ทำเอา ""ปลื้มจิตร์"" ต้องอึ้ง!",https://www.sanook.com/sport/151617/,23 พ.ค. 58,"600,370",ข่าวกีฬา_16.txt,ข่าวกีฬา
"""แหลม ศรีสะเกษ"" โพสต์ดราม่าก่อนลบ! แฟนมวยแห่ส่งกำลังใจให้เพียบ",https://www.sanook.com/sport/699349/,11 พ.ค. 61,"598,963",ข่าวกีฬา_17.txt,ข่าวกีฬา
