Title,Link,Date,Views,File_name,Label
อ้วน โต้ควง แจม เที่ยว 2 ต่อ 2 กั๊กเรียกแฟน,https://www.sanook.com/news/1192064/,17-มิ.ย.-56,"84,120,862",ข่าวบันเทิง_1.txt,ข่าวบันเทิง
เผยเบื้องลึก แตงโม กินยานอนหลับ หวังฆ่าตัวตาย,https://www.sanook.com/news/1824931/,6-ก.ค.-58,"2,080,594",ข่าวบันเทิง_2.txt,ข่าวบันเทิง
อิม น้ำตานอง! เลิกหนุ่มคนรัก เจอความจริงที่รับไม่ได้,https://www.sanook.com/news/1783638/,21-เม.ย.-58,"1,944,355",ข่าวบันเทิง_3.txt,ข่าวบันเทิง
"ต้องฟังจากปาก ""โตโน่"" สาเหตุแยกทาง ""แตงโม"" จนถึงขั้นฆ่าตัวตาย",https://www.sanook.com/news/1825475/,7-ก.ค.-58,"1,867,870",ข่าวบันเทิง_4.txt,ข่าวบันเทิง
วันนี้ที่รอคอย ฟิล์ม ยิ้มออก แอนนี่ รับแล้วไม่ใช่พ่อของลูก!!,https://www.sanook.com/news/1153924/,16-พ.ย.-55,"1,867,170",ข่าวบันเทิง_5.txt,ข่าวบันเทิง
โจอี้ บอย โต้อาจารย์ดังบอก ซิโก้ พูดภาษาอังกฤษเหมือนเมียเช่าฝรั่ง,https://www.sanook.com/news/1719217/,22-ธ.ค.-57,"1,691,970",ข่าวบันเทิง_6.txt,ข่าวบันเทิง
"""โตโน่ ภาคิน"" แถลงปมเหตุแยกทาง “แตงโม“",https://www.sanook.com/news/1826199/,8-ก.ค.-58,"1,610,950",ข่าวบันเทิง_7.txt,ข่าวบันเทิง
"โพสต์สุดท้ายของ โบว์ แวนด้า ก่อน ""ปอ ทฤษฎี"" เสียชีวิต",https://www.sanook.com/news/1933346/,18-ม.ค.-59,"1,540,070",ข่าวบันเทิง_8.txt,ข่าวบันเทิง
"""กระแต"" ฟาดด้วยคลิป ถูกวิจารณ์เพลง แทบจะแก้ผ้า ขายเสียงหรือขายอะไร?",https://www.sanook.com/news/8513906/,5-ก.พ.-65,"1,519,527",ข่าวบันเทิง_9.txt,ข่าวบันเทิง
น้องมะลิ ร้องไห้หนักมาก หลังไม่มีใครเล่นซนด้วย,https://www.sanook.com/news/1935490/,21-ม.ค.-59,"1,339,381",ข่าวบันเทิง_10.txt,ข่าวบันเทิง
กัญจน์ ลูกชาย ฉลอง ภักดีวิจิตร โพสต์ความรู้สึกหลังพ่อแต่งงาน,https://www.sanook.com/news/1722483/,29-ธ.ค.-57,"1,304,407",ข่าวบันเทิง_11.txt,ข่าวบันเทิง
"บุรีรัมย์เห็นทั้งเมือง ลือสาว (แอบ) สนิท ""ปีเตอร์"" อยู่ที่นี่",https://www.sanook.com/news/1829046/,13-ก.ค.-58,"1,223,143",ข่าวบันเทิง_12.txt,ข่าวบันเทิง
"ก้อง สหรัถ รับสาวในรูปทริปไปญี่ปุ่นคือ ""แฟน"" ฟุ้งคบกันนาน 20 ปี",https://www.sanook.com/news/1820343/,28-มิ.ย.-58,"1,197,870",ข่าวบันเทิง_13.txt,ข่าวบันเทิง
รายงานสด แตงโม ภัทรธิดา แถลงข่าวปมกินยาฆ่าตัวตาย,https://www.sanook.com/news/1825443/,7-ก.ค.-58,"1,188,747",ข่าวบันเทิง_14.txt,ข่าวบันเทิง
"น้ำตาไหล...น้องมะลิ กราบพ่อปอครั้งสุดท้าย ชูมือบอก ""พ่อสู้ๆ""",https://www.sanook.com/news/1933718/,19-ม.ค.-59,"1,183,376",ข่าวบันเทิง_15.txt,ข่าวบันเทิง
"ลูกสาวอิทธิ พลางกูร เผย ไม่ลืมคำที่ ""กี้ร์ อริสมันต์"" พูดกับครอบครัว",https://www.sanook.com/news/2092270/,29-ต.ค.-59,"1,155,343",ข่าวบันเทิง_16.txt,ข่าวบันเทิง
กรี๊ดลั่น! ชมพู่ อารยา ปลื้ม น็อตคุกเข่าขอแต่งงานแล้ว,https://www.sanook.com/news/1719853/,23-ธ.ค.-57,"1,071,732",ข่าวบันเทิง_17.txt,ข่าวบันเทิง
"ถอดทุกคำพูด ""แทค ภรัณยู"" ให้สัมภาษณ์ก่อนประกาศเลิกเมีย ช็อกทั้งวงการ",https://www.sanook.com/news/7892118/,10-ก.ย.-62,"1,065,299",ข่าวบันเทิง_18.txt,ข่าวบันเทิง
รายงานสด เจนี่ เอ๋ แถลงข่าวความสัมพันธ์,https://www.sanook.com/news/1201810/,8-ส.ค.-56,"1,065,040",ข่าวบันเทิง_19.txt,ข่าวบันเทิง
ภาพอบอุ่น เสี่ยตา ปัญญา ส่งลูกสาวคนสวย เข้าสู่ประตูวิวาห์,https://www.sanook.com/news/1921326/,27-ธ.ค.-58,"1,040,949",ข่าวบันเทิง_20.txt,ข่าวบันเทิง
ภาพหลุดดาราสะท้านวงการ,https://www.sanook.com/news/1307073/,6-พ.ย.-56,"1,027,661",ข่าวบันเทิง_21.txt,ข่าวบันเทิง
"""แพท ณปภา"" ร่ำไห้เผย 30 ปี ไม่เคยเจอแม่ที่แท้จริง เพิ่งรู้ ""พ่อ"" คือคนที่เรียกว่า ""พี่"" มาตลอด",https://www.sanook.com/news/7177734/,14-ก.ค.-61,"1,007,512",ข่าวบันเทิง_22.txt,ข่าวบันเทิง
"หมอโอ๊ค เสียน้ำตา อัพเดทอาการ ""โอปอล์"" ตั้งครรภ์ลูกฝาแฝดผิดปกติ",https://www.sanook.com/news/1862150/,8-ก.ย.-58,"988,276",ข่าวบันเทิง_23.txt,ข่าวบันเทิง
ตั๊ก บงกช เซ็งหนัก ภาพหลุดแอบถ่ายทริปเรือยอร์ช,https://www.sanook.com/news/1815595/,20-มิ.ย.-58,"973,389",ข่าวบันเทิง_24.txt,ข่าวบันเทิง
ท็อป ดารณีนุช เปิดใจปมหย่าสามี จบชีวิตรัก 22 ปี,https://www.sanook.com/news/1753753/,24-ก.พ.-58,"973,226",ข่าวบันเทิง_25.txt,ข่าวบันเทิง
โฉมหน้าซุป'ตาร์ เก่งทั้งในและนอกจอ,https://www.sanook.com/news/1751807/,20-ก.พ.-58,"972,755",ข่าวบันเทิง_26.txt,ข่าวบันเทิง
"หนังคนละม้วน ""ต้นหอม"" เปิดใจเลิก ""แทค"" เพราะเรื่องผู้หญิง",https://www.sanook.com/news/1817266/,23-มิ.ย.-58,"965,622",ข่าวบันเทิง_27.txt,ข่าวบันเทิง
"เปิดตัว ""น้องมะลิ"" วัย 2 ขวบ ปอ -โบว์ จดทะเบียนสมรสแล้ว",https://www.sanook.com/news/1898954/,13-พ.ย.-58,"941,680",ข่าวบันเทิง_28.txt,ข่าวบันเทิง
บี้ โผล่เซอร์ไพรส์ กุ๊บกิ๊บ สวีทจนน้ำทะเลหวาน,https://www.sanook.com/news/1790670/,4-พ.ค.-58,"941,132",ข่าวบันเทิง_29.txt,ข่าวบันเทิง
สะพัด! แตงโม ฆ่าตัวตาย โยงปม โตโน่ ประกาศโสด,https://www.sanook.com/news/1824918/,6-ก.ค.-58,"938,959",ข่าวบันเทิง_30.txt,ข่าวบันเทิง
จับตา!! สถานะ “โตโน่ เกรซ” ยังไงกันแน่ ?,https://www.sanook.com/news/1833106/,20-ก.ค.-58,"927,527",ข่าวบันเทิง_31.txt,ข่าวบันเทิง
"""เป้ ทวีฤทธิ์"" จากพระเอกสู่เด็กเสิร์ฟ ขายสมบัติประทังชีวิตเลี้ยงภรรยาพร้อมลูกติด",https://www.sanook.com/news/7892374/,11-ก.ย.-62,"909,214",ข่าวบันเทิง_32.txt,ข่าวบันเทิง
นิกกี้ 9 นิ้ว ฉะแหลก นางเอก AV ขอถอนตัว,https://www.sanook.com/news/1752873/,23-ก.พ.-58,"905,843",ข่าวบันเทิง_33.txt,ข่าวบันเทิง
"โพสต์แรกจาก ""แตงโม ภัทรธิดา"" หลัง ""โตโน่"" แถลงเลิกแล้ว",https://www.sanook.com/news/1826643/,9-ก.ค.-58,"900,817",ข่าวบันเทิง_34.txt,ข่าวบันเทิง
บอย ปกรณ์ แถลงทั้งน้ำตา ยืดอกยอมรับภาพหลุด,https://www.sanook.com/news/1298838/,4-พ.ย.-56,"869,681",ข่าวบันเทิง_35.txt,ข่าวบันเทิง
"""แคนดี้ รากแก่น"" ร่ายยาว ดราม่า ""เจนนี่-เก้า"" ฟาดจุกๆ คนทั้งวงการเขารู้กันหมดแล้ว",https://www.sanook.com/news/8223690/,5-ส.ค.-63,"868,259",ข่าวบันเทิง_36.txt,ข่าวบันเทิง
"""ผู้กองไอซ์"" ปล่อยภาพแฉ ""มาร์กี้-ป๊อก"" บอกสุดทนแล้วเห็นมาหลายปี",https://www.sanook.com/news/8459938/,18-ต.ค.-64,"856,709",ข่าวบันเทิง_37.txt,ข่าวบันเทิง
หวิดบ้านแตก!! เมียช็อค เมฆ วินัย ถ่ายแฟชั่นสยิว,https://www.sanook.com/news/1823335/,3-ก.ค.-58,"845,415",ข่าวบันเทิง_38.txt,ข่าวบันเทิง
คลิปหลุด! ลือเป็นดาราสาวชื่อดัง อ้อนแฟนให้มีเซ็กส์,https://www.sanook.com/news/1661529/,4-ก.ย.-57,"843,863",ข่าวบันเทิง_39.txt,ข่าวบันเทิง
โอปอล์ ปาณิสรา เปิดโฉม..ภาพแรก อลิน-อรัญ ลูกน้อยฝาแฝด,https://www.sanook.com/news/1883390/,16-ต.ค.-58,"834,428",ข่าวบันเทิง_40.txt,ข่าวบันเทิง
"""นุ๊ก สุทธิดา"" สุดปรี๊ด ประกาศตามหาคนเช่าบ้านแล้วหนี ทำบ้านเละ ค้างค่าไฟห้าหมื่นกว่า",https://www.sanook.com/news/7865986/,15-ส.ค.-62,"826,349",ข่าวบันเทิง_41.txt,ข่าวบันเทิง
