Title,Link,Date,Views,File_name,Label
12 แอพแต่งรูปฟรี ยอดฮิตเปลี่ยนรูปธรรมดา ให้กลายเป็นภาพแบบเก๋ๆ,https://www.sanook.com/hitech/1397509/,8 มิ.ย. 65,"1,536,394",ข่าวไอที_1.txt,ข่าวไอที
9 โปรแกรม สแกนไวรัส ใช้งานได้ฟรี ที่ต้องโหลดไว้ติดเครื่อง,https://www.sanook.com/hitech/928549/,26 เม.ย. 59,"1,166,600",ข่าวไอที_2.txt,ข่าวไอที
แอบย่องเบา ออกจากกลุ่ม Line ยังไง ไม่ให้ใครรู้,https://www.sanook.com/hitech/1415025/,19 ธ.ค. 59,"1,062,695",ข่าวไอที_3.txt,ข่าวไอที
วิธีแก้ปัญหาเบื้องต้นเมื่อ iPhone ชาร์จแบตไม่เข้าทำได้ไม่ยาก,https://www.sanook.com/hitech/1410949/,2 ส.ค. 60,"769,133",ข่าวไอที_4.txt,ข่าวไอที
ลบด่วน! 9 แอปฯ ที่ถูกปลดออกจาก Google Play Store เพราะมีมัลแวร์ ขโมยพาสเวิร์ดเฟซบุ๊ก,https://www.sanook.com/hitech/1536385/,4 ก.ค. 64,"576,369",ข่าวไอที_5.txt,ข่าวไอที
สร้างรูปเรารักในหลวง ทำได้ไม่ยาก,https://www.sanook.com/hitech/1412561/,13 ต.ค. 59,"557,031",ข่าวไอที_6.txt,ข่าวไอที
วิเคราะห์เทียบสเปค iPhone 4s กับ iPhone 4,https://www.sanook.com/hitech/942426/,19 มิ.ย. 55,"549,969",ข่าวไอที_7.txt,ข่าวไอที
วิธีบ้านๆ ในการกู้แชทที่ลบไปใน Facebook Messenger,https://www.sanook.com/hitech/1400701/,10 พ.ย. 58,"521,211",ข่าวไอที_8.txt,ข่าวไอที
BlackBerry Curve 8520 สีขาวราคาสบายกระเป๋า,https://www.sanook.com/hitech/853500/,15 ธ.ค. 52,"517,818",ข่าวไอที_9.txt,ข่าวไอที
[วิธี] กู้แชทที่ลบไปใน Facebook,https://www.sanook.com/hitech/1396057/,6 พ.ค. 58,"492,226",ข่าวไอที_10.txt,ข่าวไอที
ปัญหาเครื่องค้าง บนมือถือ Android กดปุ่มอะไรไม่ได้เลย แก้ไขอย่างไรดี มาดูกัน,https://www.sanook.com/hitech/1396637/,29 พ.ค. 58,"466,709",ข่าวไอที_11.txt,ข่าวไอที
15 อย่างใน iPhone 5 ที่รออยู่,https://www.sanook.com/hitech/927534/,15 ต.ค. 53,"465,197",ข่าวไอที_12.txt,ข่าวไอที
"ลดเทกระจาด Samsung Galaxy J5 จาก 7,900 เหลือ 2,900 บาท",https://www.sanook.com/hitech/1412465/,10 ต.ค. 59,"453,612",ข่าวไอที_13.txt,ข่าวไอที
ลืมรหัสไลน์ ย้าย LINE ไปเครื่องใหม่ไม่ได้ อีเมลใช้ไม่ได้ ทำอย่างไร มาดูกัน,https://www.sanook.com/hitech/1402213/,4 ม.ค. 59,"437,186",ข่าวไอที_14.txt,ข่าวไอที
เผยข้อมูลแอปพลิเคชั่นยอดนิยม 5 ประเภท ที่คุณ “ควร” ลบออกจากเครื่องของคุณ!,https://www.sanook.com/hitech/1536077/,12 ต.ค. 64,"435,812",ข่าวไอที_15.txt,ข่าวไอที
รู้จัก POPCAT แมวอ้าปากที่เป็นที่กล่าวถึงอยู่ เล่นง่ายแค่คลิกเดียว ผู้นำกระแสติดลมบนในโลกออนไลน์,https://www.sanook.com/hitech/1539589/,15 ส.ค. 64,"432,401",ข่าวไอที_16.txt,ข่าวไอที
เปรียบมวย iPhone 4S กับ SmartPhone สามรุ่นเด็ดที่มีความสามารถพอฟัดพอเหวี่ยงกัน,https://www.sanook.com/hitech/942428/,19 มิ.ย. 55,"429,618",ข่าวไอที_17.txt,ข่าวไอที
ใครนะมาแอบส่อง facebook เค้า… มาดูโฉมหน้ากัน,https://www.sanook.com/hitech/1402785/,19 ม.ค. 59,"426,475",ข่าวไอที_18.txt,ข่าวไอที
"ทรูมูฟเอช ลดราคา iPhone 6 ขนาด 64GB สูงสุด 50% เหลือเพียง 13,500 บาท",https://www.sanook.com/hitech/1404929/,28 มี.ค. 59,"425,721",ข่าวไอที_19.txt,ข่าวไอที
แนะนำโทรศัพท์มือถือ ราคาถูกน่าใช้(ราคาไม่เกินพัน),https://www.sanook.com/hitech/1388000/,27 ธ.ค. 56,"400,934",ข่าวไอที_20.txt,ข่าวไอที
แนะนำ 4 แอปพลิเคชั่นทำมือถือเป็นกล้องติดหน้ารถ ง่ายๆ แค่โหลด,https://www.sanook.com/hitech/1402517/,22 ธ.ค. 62,"395,537",ข่าวไอที_21.txt,ข่าวไอที
"หั่นราคา Samsung Galaxy J7 เหลือ 4,900 บาท ถึง 31 มกราคมนี้ เท่านั้น!",https://www.sanook.com/hitech/1403033/,27 ม.ค. 59,"381,064",ข่าวไอที_22.txt,ข่าวไอที
ครั้งแรกในเมืองไทยกับการ เทียบภาพถ่าย Samsung Galaxy S6 vs iPhone 6 (Exclusive),https://www.sanook.com/hitech/1395365/,21 มี.ค. 58,"361,627",ข่าวไอที_23.txt,ข่าวไอที
ถ้าไม่อยากหงุดหงิด อย่าพึ่ง Update iOS 9 ตอนนี้ เพราะ...,https://www.sanook.com/hitech/1399269/,21 ก.ย. 58,"361,581",ข่าวไอที_24.txt,ข่าวไอที
"เช็คสถานะ “เราไม่ทิ้งกัน” ผ่านมือถือได้ง่ายๆ รับเงิน 5,000 บาท ผ่าน-ไม่ผ่าน",https://www.sanook.com/hitech/1498747/,8 เม.ย. 63,"355,678",ข่าวไอที_25.txt,ข่าวไอที
5 วิธีชาร์จแบตฯมือถือให้อยู่ได้นาน (รู้…แต่ไม่ทำกัน),https://www.sanook.com/hitech/1397517/,21 ก.ค. 58,"351,443",ข่าวไอที_26.txt,ข่าวไอที
โอเปอร์เรเตอร์อออกโปรส่งท้ายปี! iPhone 7 ลดสูงสุด 50% พร้อมอัพเกรดรุ่นใหม่ฟรีในปีหน้า ลดหย่อนภาษีได้,https://www.sanook.com/hitech/1415133/,22 ธ.ค. 59,"337,571",ข่าวไอที_27.txt,ข่าวไอที
ยลโฉม ภาพคอนเซปท์ iPhone 7 บางเฉียบกว่าเดิม มีให้เลือกหลายสี,https://www.sanook.com/hitech/1394737/,20 ก.พ. 58,"336,848",ข่าวไอที_28.txt,ข่าวไอที
สอนวิธีทำภาพโปรไฟล์ติดโบดำ เพื่อไว้อาลัยพ่อหลวง,https://www.sanook.com/hitech/1412641/,17 ต.ค. 59,"330,355",ข่าวไอที_29.txt,ข่าวไอที
วิธีติดตั้ง Windows 8 แบบ Clean Install ลง Win 8 ง่ายๆไม่ง้อช่าง,https://www.sanook.com/hitech/1104684/,6 ม.ค. 56,"325,178",ข่าวไอที_30.txt,ข่าวไอที
วิธีแก้!! กล้องบน iPhone ไม่ทำงาน ถ่ายภาพไม่ได้ ได้รูปไม่ชัด,https://www.sanook.com/hitech/1392549/,31 ต.ค. 57,"321,597",ข่าวไอที_31.txt,ข่าวไอที
6 Apps เด่นช่วยสแกนเอกสารให้เนียนยิ่งกว่าใช้เครื่องสแกนอีก,https://www.sanook.com/hitech/1421913/,26 เม.ย. 60,"321,304",ข่าวไอที_32.txt,ข่าวไอที
ระวัง!! ปัญหาโทรศัพท์เครื่องร้อน (เรื่องใกล้ตัว) ที่หลายคนมักง่าย,https://www.sanook.com/hitech/1405789/,25 เม.ย. 59,"307,987",ข่าวไอที_33.txt,ข่าวไอที
iPhone 4 ปลอมที่เหมือนมากที่สุดในเวลานี้ ลองชมกันดู,https://www.sanook.com/hitech/925982/,26 ส.ค. 53,"307,985",ข่าวไอที_34.txt,ข่าวไอที
อัปเดทราคา iPhone 7 ของทรูล่าสุด ลดโหดพร้อมเน็ต 4G ไม่จำกัด,https://www.sanook.com/hitech/1412821/,21 ต.ค. 59,"306,705",ข่าวไอที_35.txt,ข่าวไอที
How To วิธีดูรุ่นของ iPad ที่คุณใช้ว่าคุณใช้รุ่นอะไรอยู่,https://www.sanook.com/hitech/1433773/,8 ก.ย. 60,"305,954",ข่าวไอที_36.txt,ข่าวไอที
how-old.net มาทายอายุกัน,https://www.sanook.com/hitech/1396031/,2 พ.ค. 58,"303,469",ข่าวไอที_37.txt,ข่าวไอที
"แนะนำสมาร์ทโฟน ราคาไม่เกิน 7,000 บาท ที่คุ้มค่าที่สุด และน่าซื้อที่สุด ณ ชั่วโมงนี้",https://www.sanook.com/hitech/1395509/,31 มี.ค. 58,"303,179",ข่าวไอที_38.txt,ข่าวไอที
[How-To] วิธีปิดระบบสะกดคำอัตโนมัติบนมือถือ Android ที่หลายคนอาจจะไม่ต้องการ,https://www.sanook.com/hitech/1404133/,2 มี.ค. 59,"299,287",ข่าวไอที_39.txt,ข่าวไอที
รวมแอปยอดนิยม 5 ประเภท ที่คุณ “ควร” ลบออกจากเครื่องของคุณ!,https://www.sanook.com/hitech/1418165/,13 มี.ค. 60,"296,135",ข่าวไอที_40.txt,ข่าวไอที
"มาดู ""ราคาจอ"" หากต้องเปลี่ยนเท่าไรบ้าง?",https://www.sanook.com/hitech/1393769/,9 ม.ค. 58,"292,424",ข่าวไอที_41.txt,ข่าวไอที
สิ่งต้องห้ามควรรู้ ก่อนทำ(ร้าย)แบตเตอรี่,https://www.sanook.com/hitech/1397141/,25 มิ.ย. 58,"291,133",ข่าวไอที_42.txt,ข่าวไอที
มาอีกแล้ว แคมเปญอัพเกรด iPhone เครื่องเดิมเป็น iPhone 6 และ iPhone 6 Plus,https://www.sanook.com/hitech/1396249/,12 พ.ค. 58,"286,475",ข่าวไอที_43.txt,ข่าวไอที
รวมพฤติกรรมทำร้าย iPhone ที่ควรลด ละ เลิกเป็นการด่วน ก่อน iPhone ของคุณจะจากไปก่อนวัยอันควร!,https://www.sanook.com/hitech/1398873/,25 ก.ย. 58,"286,399",ข่าวไอที_44.txt,ข่าวไอที
Nokia ประกาศส่งสมาร์ทโฟน Android บุกตลาดปีหน้า!,https://www.sanook.com/hitech/1414537/,6 ธ.ค. 59,"283,643",ข่าวไอที_45.txt,ข่าวไอที
"TrueMove H ลดแรง! iPhone 6,iPhone 6s และ iPhone SE เคาะขายเพียง 8,800 บาท",https://www.sanook.com/hitech/1412265/,5 ต.ค. 59,"282,950",ข่าวไอที_46.txt,ข่าวไอที
Apple iPhone 5,https://www.sanook.com/hitech/1037506/,10 ส.ค. 55,"281,781",ข่าวไอที_47.txt,ข่าวไอที
มือถือหาย ไม่ต้องตกใจ หากอยากได้คืน มาดูวิธีตามหากัน!,https://www.sanook.com/hitech/1463625/,2 พ.ย. 61,"279,308",ข่าวไอที_48.txt,ข่าวไอที
รวมความเชื่อผิดๆ เกี่ยวกับการชาร์จมือถือ(ระดับตำนาน) ที่หลอกคุณมาทั้งชีวิต,https://www.sanook.com/hitech/1400321/,28 ต.ค. 58,"278,535",ข่าวไอที_49.txt,ข่าวไอที
เปรียบเทียบเรือธงฝั่ง Android เมื่อเจอกับ iPhone 11 Pro Max จะเลือกใครดี ,https://www.sanook.com/hitech/1484545/,13 ก.ย. 62,"277,989",ข่าวไอที_50.txt,ข่าวไอที
"5 มือถือราคาไม่เกิน 3,000 บาท รุ่นคุ้มค่าน่าซื้อสำหรับคนงบน้อย มีรุ่นใดให้เลือกบ้าง ?",https://www.sanook.com/hitech/1426625/,14 มิ.ย. 60,"276,230",ข่าวไอที_51.txt,ข่าวไอที
"อัปเดทราคา iPhone 6, 6 Plus, 6s และ 6s Plus ล่าสุดประจำวันที่ 7 พฤศจิกายน",https://www.sanook.com/hitech/1413449/,7 พ.ย. 59,"273,196",ข่าวไอที_52.txt,ข่าวไอที
"ไขปริศนา ""หญิงสาวข้ามเวลา"" ใช้โทรศัพท์มือถือในยุค 1930 (ชมคลิป)",https://www.sanook.com/hitech/1294079/,3 เม.ย. 56,"268,061",ข่าวไอที_53.txt,ข่าวไอที
"""ทรูมูฟเอช""ลุยแหลกขายไอโฟน 4 ครึ่งราคาพ่วงผ่อน 0% นาน 10 เดือนปั๊มลูกค้า 3G",https://www.sanook.com/hitech/1272437/,19 มี.ค. 56,"266,980",ข่าวไอที_54.txt,ข่าวไอที
"นักสืบพันทิปแฉ ที่มาของข่าวลือ ""Paul walker ยังไม่ตาย""",https://www.sanook.com/hitech/1387938/,2 ธ.ค. 56,"263,473",ข่าวไอที_55.txt,ข่าวไอที
"True ลดแรง! โปร iPhone 4 8GB ลด 50% ราคา 6,950฿ ผ่อนได้ 0%",https://www.sanook.com/hitech/1320212/,19 เม.ย. 56,"259,836",ข่าวไอที_56.txt,ข่าวไอที
เผยวิธีตรวจสอบสิทธิประกันสังคม ม.40 ที่ทำง่ายแค่ใช้บัตรประชาชน และคลิกเว็บไซต์ ประกันสังคม,https://www.sanook.com/hitech/1538477/,30 ก.ค. 64,"259,390",ข่าวไอที_57.txt,ข่าวไอที
"5 มือถือราคาไม่เกิน 3,000 บาทสำหรับคนงบน้อย มีรุ่นใดให้เลือกบ้าง มาดูกัน",https://www.sanook.com/hitech/1416937/,10 ก.พ. 60,"258,570",ข่าวไอที_58.txt,ข่าวไอที
5 เรื่องโง่ของคนใช้ Mac ที่คุณควรรู้ !!!,https://www.sanook.com/hitech/1388045/,20 ธ.ค. 56,"255,737",ข่าวไอที_59.txt,ข่าวไอที
ตามหา iPhone หายไม่ยาก หากอยากได้คืน มาดูกันต้องทำอย่างไร?,https://www.sanook.com/hitech/1418329/,17 มี.ค. 60,"255,639",ข่าวไอที_60.txt,ข่าวไอที
