Title,Link,Date,Views,File_name,Label
อาการโควิด-19 อาการเบื้องต้นเป็นอย่างไร วิธีป้องกันโควิด-19,https://www.sanook.com/health/20609/,18 ธ.ค. 63,"2,446,839",สุขภาพ_1.txt,สุขภาพ
ปวดท้องข้างซ้าย เป็นโรคอะไรได้บ้าง มีวิธีดูแลเบื้องต้นอย่างไร,https://www.sanook.com/health/7085/,8 ก.ค. 65,"2,296,525",สุขภาพ_2.txt,สุขภาพ
"รู้จัก ""โรคซึมเศร้า"" อาการโรคซึมเศร้า และวิธีการดูแล ฟื้นฟู จิตใจ",https://www.sanook.com/health/721/,19 ก.ค. 65,"2,110,894",สุขภาพ_3.txt,สุขภาพ
ปวดท้องข้างขวา เกิดขึ้นจากสาเหตุอะไร สื่อถึงโรคอะไรได้บ้าง,https://www.sanook.com/health/7093/,8 ก.ค. 65,"2,105,258",สุขภาพ_4.txt,สุขภาพ
อาการมะเร็งปากมดลูก มีสัญญาณเตือนภัย ที่ควรสังเกตุ,https://www.sanook.com/health/2509/,5 พ.ค. 65,"1,298,506",สุขภาพ_5.txt,สุขภาพ
แผลร้อนใน กับ 15 วิธีแก้แผลร้อนในให้หายเร็วๆ,https://www.sanook.com/health/16089/,6 พ.ค. 65,"1,293,895",สุขภาพ_6.txt,สุขภาพ
8 วิธีแก้อาการนอนไม่หลับ ที่ช่วยให้หลับสบายขึ้น,https://www.sanook.com/health/3833/,6 ก.ค. 65,"1,270,958",สุขภาพ_7.txt,สุขภาพ
เทศกาลกินเจ 2565 เริ่มวันที่เท่าไร ควรเตรียมตัวอย่างไรกับเทศกาลกินเจ,https://www.sanook.com/health/1429/,8 ก.พ. 65,"1,253,545",สุขภาพ_8.txt,สุขภาพ
ง่วงนอนบ่อยๆ สัญญาณ 6 โรคอันตรายที่คุณอาจกำลังเผชิญโดยไม่รู้ตัว,https://www.sanook.com/health/2477/,15 ก.พ. 62,"1,066,129",สุขภาพ_9.txt,สุขภาพ
9 ประโยชน์สุดยอดจาก “อะโวคาโด” ดีต่อสุขภาพของจริง,https://www.sanook.com/health/2431/,30 มิ.ย. 65,"1,034,039",สุขภาพ_10.txt,สุขภาพ
10 วิธีบรรเทาอาการไอให้หายเร็วที่สุด,https://www.sanook.com/health/9541/,13 มี.ค. 62,"1,024,677",สุขภาพ_11.txt,สุขภาพ
ไข้เลือดออก มีอาการอย่างไร วิธีรักษาป้องกันโรคไข้เลือดออก,https://www.sanook.com/health/445/,19 ก.ค. 65,"987,334",สุขภาพ_12.txt,สุขภาพ
ปวดหลังตรงไหน เป็นโรคอะไร? แบบไหนอันตราย?,https://www.sanook.com/health/8317/,26 ก.ค. 61,"980,797",สุขภาพ_13.txt,สุขภาพ
อุจจาระเป็นเลือด เสี่ยง 6 โรคร้ายสุดอันตราย,https://www.sanook.com/health/6033/,25 มิ.ย. 61,"898,548",สุขภาพ_14.txt,สุขภาพ
10 อาการผิดปกติของ “น้องชาย” ที่ท่านชายพึงระวัง,https://www.sanook.com/health/3297/,5 ต.ค. 60,"874,448",สุขภาพ_15.txt,สุขภาพ
