Title,Link,Date,Views,File_name,Label
ช็อค! สิงห์ Sqweez Animal ประชาธิป มุสิกพงศ์ พลัดตกคอนโดดับ,https://www.sanook.com/news/1838895/,30 ก.ค. 58,"934,757",อาชญากรรม_1.txt,อาชญากรรม
รถไม่จอดไฟเขียวคนข้าม ชนพนง.แกรมมี่ดับหน้าตึก,https://www.sanook.com/news/1717177/,18 ธ.ค. 57,"815,806",อาชญากรรม_2.txt,อาชญากรรม
"รวบคาห้าง ""ลูกน้ำ อิสราลักษณ์"" อดีตพิธีกรรายการทีวี ฉ้อโกงออนไลน์ 100 ล้าน",https://www.sanook.com/news/8494742/,27 ธ.ค. 64,"773,917",อาชญากรรม_3.txt,อาชญากรรม
คดีพลิก! ลูกสาวศพโครงกระดูกสารภาพบาป สั่งแฟนฆ่าแม่,https://www.sanook.com/news/1932994/,18 ม.ค. 59,"710,377",อาชญากรรม_4.txt,อาชญากรรม
รถเมล์สาย 74 เฉี่ยว จยย. ทับสาวซ้อนท้ายสมองเละ ดับสยอง!,https://www.sanook.com/news/1204259/,21 ส.ค. 56,"699,037",อาชญากรรม_5.txt,อาชญากรรม
เสี่ยอู๊ด สิทธิกร เสียชีวิตแล้ว ทิ้งจดหมายสั่งเสียเผาทันที,https://www.sanook.com/news/1891126/,30 ต.ค. 58,"691,813",อาชญากรรม_6.txt,อาชญากรรม
"ศาลตัดสินจำคุก ""สรยุทธ"" 13 ปี 4 เดือน ไม่รอลงอาญา",https://www.sanook.com/news/1956758/,29 ก.พ. 59,"680,554",อาชญากรรม_7.txt,อาชญากรรม
“คิดว่าเค้าชอบผม” เปิดคำสารภาพไอ้หื่นฆ่าปาดคอครูสาว,https://www.sanook.com/news/2023742/,4 ก.ค. 59,"673,407",อาชญากรรม_8.txt,อาชญากรรม
วัยรุ่นลองของ บ้าน 5 ศพ วงเวียนใหญ่ เจอดี,https://www.sanook.com/news/1724933/,3 ม.ค. 58,"628,597",อาชญากรรม_9.txt,อาชญากรรม
ตร.จับพ่อเลี้ยงคลิปฉาว กระทืบลูกที่บันได เด็กเสียชีวิตแล้ว,https://www.sanook.com/news/1771589/,29 มี.ค. 58,"611,289",อาชญากรรม_10.txt,อาชญากรรม
โจรชักปืนจี้ 3 แม่ลูกลานจอดรถห้างดัง สั่งให้ไปส่งนวนคร,https://www.sanook.com/news/1183333/,30 เม.ย. 56,"600,040",อาชญากรรม_11.txt,อาชญากรรม
นศ.วัย 19 ปีผูกคอตาย เครียดถูกสามีขู่หย่า,https://www.sanook.com/news/1744281/,6 ก.พ. 58,"567,890",อาชญากรรม_12.txt,อาชญากรรม
นัท ธนัทชัย นารถติการ ดาราหนุ่ม นศ.มธ.ซิ่งรถเก๋งชนป้ายปั๊ม ดับคาที่,https://www.sanook.com/news/1103775/,10 มี.ค. 55,"565,363",อาชญากรรม_13.txt,อาชญากรรม
แม่ดาราเด็กโพสต์แฉ โดนสามีซ้อมปางตาย,https://www.sanook.com/news/1790675/,4 พ.ค. 58,"552,529",อาชญากรรม_14.txt,อาชญากรรม
คำสารภาพ พนง.เมาฆ่าข่มขืน น้องแก้ม โยนร่างทิ้งหน้าต่าง,https://www.sanook.com/news/1626201/,8 ก.ค. 57,"550,922",อาชญากรรม_15.txt,อาชญากรรม
จับคากล้อง ฝรั่งหนุ่มสาวถ่ายหนังโป๊ที่กระบี่ ขายเว็บนอกรายได้งามกว่า 1 ล้าน,https://www.sanook.com/news/8041018/,26 ก.พ. 63,"537,061",อาชญากรรม_16.txt,อาชญากรรม
รวบแล้ว! คนร้ายฆ่าซาดิสต์สาวหมกโรงแรมเชียงใหม่,https://www.sanook.com/news/1781214/,16 เม.ย. 58,"529,384",อาชญากรรม_17.txt,อาชญากรรม
คลิปลับ หน้าคล้ายไฮโซ ว่อนเชียงใหม่!!!,https://www.sanook.com/news/768460/,1 มิ.ย. 52,"517,877",อาชญากรรม_18.txt,อาชญากรรม
เหล็กเส้นคอนโดหรูหล่นทับคนงาน ร่างแหลก,https://www.sanook.com/news/1204214/,21 ส.ค. 56,"486,522",อาชญากรรม_19.txt,อาชญากรรม
"#ปล้นร้านทองลพบุรี คนใกล้ตัวแฉ แม้แต่เมียยังสงสัย ""ผอ.กอล์ฟ"" คุ้นรองเท้า-รถมอเตอร์ไซค์",https://www.sanook.com/news/8016762/,22 ม.ค. 63,"482,396",อาชญากรรม_20.txt,อาชญากรรม
"ศาลตัดสินประหารชีวิตสถานเดียว “เต้ย หอมชง” จ้างฆ่ายกครัว 3 ศพ ""พ่อ-แม่-พี่ชาย""",https://www.sanook.com/news/1766969/,20 มี.ค. 58,"478,618",อาชญากรรม_21.txt,อาชญากรรม
ใจจะขาด ขอชาติหน้าเกิดมาเจอกันอีก ญาติเหยื่อบึ้ม รับศพคนรัก กอดลาครั้งสุดท้าย,https://www.sanook.com/news/1849878/,18 ส.ค. 58,"476,272",อาชญากรรม_22.txt,อาชญากรรม
สลด พ่อเลี้ยงข่มขืนด.ญ.วัย 12 ปี แม่แท้ๆ รู้เห็นเป็นใจ,https://www.sanook.com/news/1803954/,30 พ.ค. 58,"472,962",อาชญากรรม_23.txt,อาชญากรรม
