Title,Link,Date,Views,File_name,Label
คะแนนเลือกตั้ง 2562: เกาะติดผลเลือกตั้ง วินาทีต่อวินาที ใครจะคว้าชัยจัดตั้งรัฐบาล,https://www.sanook.com/news/7722298/,5 เม.ย. 62,"1,925,802",การเมือง_1.txt,การเมือง
คอหวยตื่น! ป้ายทะเบียนใหม่รถนายกฯ ลุ้นงวด16ต.ค.,https://www.sanook.com/news/1148178/,16 ต.ค. 55,"1,074,542",การเมือง_2.txt,การเมือง
อัพเดตนาทีต่อนาที! เหตุการณ์หลังรัฐประหาร,https://www.sanook.com/news/1596593/,22 พ.ค. 57,"788,755",การเมือง_3.txt,การเมือง
ทำความรู้จักกับ มาตรา 44 ใช้แทนกฎอัยการศึก,https://www.sanook.com/news/1773902/,2 เม.ย. 58,"736,582",การเมือง_4.txt,การเมือง
ผลการเลือกตั้ง 2562 นับคะแนนล่าสุด 94% “พลังประชารัฐ-เพื่อไทย” ยังสูสี,https://www.sanook.com/news/7723326/,25 มี.ค. 62,"706,607",การเมือง_5.txt,การเมือง
"แชร์ไฟแลบ! คลิปหลุดลีลาเร่าร้อน ""นักการเมืองดัง"" จ้ำจี้ ""นักเคลื่อนไหวสาวผมบ๊อบ"" ในโรงแรม",https://www.sanook.com/news/7617922/,21 ธ.ค. 61,"684,699",การเมือง_6.txt,การเมือง
เช็กเลย! ผลนับคะแนนเลือกตั้งผู้ว่าราชการกรุงเทพมหานคร - ส.ก. ครบทั้ง 100%,https://www.sanook.com/news/8564586/,23 พ.ค. 65,"643,543",การเมือง_7.txt,การเมือง
สรุปผลการนับคะแนนเลือกตั้ง อบจ. ครบทั้ง 76 จังหวัด ที่ไหนใครชนะเช็กเลย!,https://www.sanook.com/news/8320178/,21 ธ.ค. 63,"581,594",การเมือง_8.txt,การเมือง
นายกฯปัดตอบคำถามก่อนเข้าประชุมครม.,https://www.sanook.com/news/1183346/,30 เม.ย. 56,"568,353",การเมือง_9.txt,การเมือง
"""เล่าสู่หลานฟัง"" เพลงลูกทุ่งสุดซึ้ง ครูสลา ร้องเองเพื่อในหลวง วันเดียวแชร์กระหึ่ม",https://www.sanook.com/news/2085018/,17 ต.ค. 59,"522,282",การเมือง_10.txt,การเมือง
รายงานสดโหวตนายกรัฐมนตรี ลุงตู่ vs ธนาธร,https://www.sanook.com/news/7793014/,6 มิ.ย. 62,"512,152",การเมือง_11.txt,การเมือง
"โบว์ อยากเลือกตั้ง ลั่น ""ไม่มีใครทำผิด"" หลังคลิปสาวผมบ๊อบจ้ำจี้นักการเมืองดังว่อนเน็ต",https://www.sanook.com/news/7617986/,21 ธ.ค. 61,"450,944",การเมือง_12.txt,การเมือง
เกาะติดม็อบมวลชน วันที่ 3 เป้าหมายยึด บช.น.ให้ได้,https://www.sanook.com/news/1352137/,3 ธ.ค. 56,"438,333",การเมือง_13.txt,การเมือง
3 ส.ส.หญิง สวย ใส ในสภา,https://www.sanook.com/news/1204121/,21 ส.ค. 56,"428,891",การเมือง_14.txt,การเมือง
น้ำตาท่วม! นักแสดงรวมตัว จำลองฉากสำคัญวันเคลื่อนพระบรมศพ,https://www.sanook.com/news/2094126/,1 พ.ย. 59,"426,029",การเมือง_15.txt,การเมือง
เกาะติดม็อบมวลชน เผชิญหน้าปะทะตำรวจ วันที่ 2,https://www.sanook.com/news/1351963/,2 ธ.ค. 56,"422,829",การเมือง_16.txt,การเมือง
"ติดตามวิเคราะห์การเลือกตั้ง ""นาทีต่อนาที"" ชมแบบสดๆ ที่นี่ อาทิตย์ที่ 24 มี.ค. ตั้งแต่ 16.30 น.",https://www.sanook.com/news/7720590/,24 มี.ค. 62,"417,566",การเมือง_17.txt,การเมือง
ธนาธรไม่ได้กุมมือ ภาพชัดยืนสำรวมต่อพระพักตร์ในหลวง! หลังโดนโจมตีกาลเทศะ,https://www.sanook.com/news/7780942/,24 พ.ค. 62,"405,368",การเมือง_18.txt,การเมือง
"ทำความรู้จัก ""จ๋า ธนนนท์"" รักครั้งใหม่ของ ""อนุทิน "" หลังเปิดตัวอย่างเป็นทางการ",https://www.sanook.com/news/8556850/,5 พ.ค. 65,"397,099",การเมือง_19.txt,การเมือง
"ด่วน! ศบค.มีมติ ""ล็อกดาวน์"" จำกัดการเดินทางในพื้นที่ กทม.-ปริมณฑล 14 วัน",https://www.sanook.com/news/8409566/,9 ก.ค. 64,"380,170",การเมือง_20.txt,การเมือง
"เลือกตั้ง 2562: ""ฟ้ารักพ่อ"" คืออะไร? ใครคือฟ้า พ่อมาจากไหน ทำไมถึงใช้บอกรัก ""ธนาธร""",https://www.sanook.com/news/7674450/,10 ก.พ. 62,"379,914",การเมือง_21.txt,การเมือง
